{LG}	spn
{SL}	sil
〇	l ɪ˨˩ ŋ
㓤	k ɐ˥ t̚
㖭	tʰ iː˥ m
㗇	k aː˨˧
㗇	h aː˥
㗎	k ɐ˧
㗎	k aː˨˥
㗎	k aː˧
㗎	k aː˨˩
㗱	ts aː˨ p̚
㗱	ts ɛː˨˥ p̚
㗱	ts ɛː˨˩ p̚
㗱	ts ɛː˨ p̚
㜺	ts aː˨˥ n
㞗	k ɐw˥
㞗	kʰ ɐw˨˩
㧻	t ʊ˥ k̚
㨃	t ɵɥ˨˥
㷫	h ɪ˧ ŋ
䎺	ts ɐi˧
䟴	ŋ ɐ˧ n
一	j ɐ˥ t̚
丁	t ɛː˥ ŋ
丁	t ɪ˥ ŋ
七	tsʰ ɐ˥ t̚
丈	ts œː˨ ŋ
三	s aː˥ m
上	s œː˨˧ ŋ
上	s œː˨ ŋ
下	h aː˨˥
下	h aː˨˧
下	h aː˨
不	p ɐ˥ t̚
丐	kʰ ɔːj˧
且	tsʰ ɛː˨˥
世	s ɐi˧
丟	t iːw˥
並	p ɪ˨ ŋ
中	ts ʊ˥ ŋ
中	ts ʊ˧ ŋ
串	tsʰ yː˧ n
主	ts yː˨˥
乃	n aːj˨˧
久	k ɐw˨˥
之	ts iː˥
乎	f uː˨˩
乏	f ɐ˨ t̚
乖	kʷ aːj˥
乘	s ɪ˨˩ ŋ
乙	j yː˨ t̚
乜	m ɐ˥ t̚
九	k ɐw˥
九	k ɐw˨˥
乞	h ɐ˥ t̚
也	j aː˨˧
乳	j yː˨˧
乸	n aː˨˥
乾	k ɔː˥ n
亂	l yː˨˥ n
亂	l yː˨ n
了	l iːw˨˧
予	j yː˨˧
事	s iː˨
二	j iː˨
于	j yː˥
互	w uː˨
五	ŋ̍˨˧
井	ts ɛː˨˥ ŋ
些	s ɛː˥
亞	aː˧
亡	m ɔː˨˩ ŋ
交	k aːw˥
亦	j ɪ˨ k̚
亨	h ɐ˥ ŋ
享	h œː˨˥ ŋ
京	k ɪ˥ ŋ
